City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Geraldton,AU,59.0,overcast clouds,-28.77,114.6,Broadwater Mariner Resort
6,Sambava,MG,65.64,clear sky,-14.27,50.17,Melrose
7,Cape Town,ZA,57.2,clear sky,-33.93,18.42,Southern Sun Waterfront Cape Town
9,Atuona,PF,78.42,overcast clouds,-9.8,-139.03,Villa Enata
11,Port Hardy,CA,62.6,broken clouds,50.7,-127.42,Airport Inn
12,Axim,GH,75.09,broken clouds,4.87,-2.24,AXIM BEACH RESORT AND SPA
14,Puerto Ayora,EC,68.0,overcast clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
15,Rikitea,PF,73.42,clear sky,-23.12,-134.97,Pension Maro'i
19,Quthing,LS,53.89,light rain,-30.4,27.7,Mountainside Hotel
20,Nouadhibou,MR,80.6,overcast clouds,20.93,-17.03,El Medina
21,East London,ZA,63.16,overcast clouds,-33.02,27.91,Tu Casa
23,Kodiak,US,55.4,heavy intensity rain,57.79,-152.41,Best Western Kodiak Inn and Convention Center
24,Mount Isa,AU,77.0,clear sky,-20.73,139.5,ibis Styles Mt Isa Verona
25,Codrington,AU,57.22,few clouds,-38.27,141.97,Codrington Gardens Bed And Breakfast
26,Fraga,ES,66.0,broken clouds,41.52,0.35,Hotel Casanova
27,Jamestown,US,68.0,clear sky,42.1,-79.24,Hampton Inn & Suites Jamestown
29,Crixas,BR,79.45,clear sky,-14.55,-49.97,RISO HOTEL
30,Berlevag,NO,50.0,broken clouds,70.86,29.09,Kvitbrakka
31,Calvinia,ZA,53.62,clear sky,-31.47,19.78,Die Lemoenhuis
32,Anloga,GH,77.0,scattered clouds,5.79,0.9,Dey Lodge
33,Butaritari,KI,83.89,overcast clouds,3.07,172.79,Isles Sunset Lodge
34,Kuchinarai,TH,82.0,few clouds,16.54,104.05,โรงแรมแสงชัย
35,Porto Novo,BJ,75.27,broken clouds,6.5,2.6,Tour Eiffel Hotel Benin
36,Bengkulu,ID,75.02,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
39,Xai-Xai,MZ,61.56,clear sky,-25.05,33.64,Platinum Hotel
40,Cayenne,GF,80.6,scattered clouds,4.93,-52.33,Hôtel Le Dronmi
41,Hilo,US,87.8,clear sky,19.73,-155.09,Hilo Hawaiian Hotel
43,Avarua,CK,73.4,scattered clouds,-21.21,-159.78,Paradise Inn
44,Bud,US,77.0,clear sky,39.45,-86.18,Madsion Scouts Camp
45,Beirut,LB,82.4,clear sky,33.89,35.49,Crowne Plaza Beirut
48,Sibolga,ID,76.1,overcast clouds,1.74,98.78,Hotel Syariah CN Darussalam
49,Port Alfred,ZA,59.0,scattered clouds,-33.59,26.89,The Halyards Hotel
50,Biltine,TD,78.51,clear sky,14.53,20.92,Hôtel Trois Étoiles de Biltine
53,Airai,TL,62.96,few clouds,-8.93,125.41,Juvinal Martin
54,Coquimbo,CL,55.4,overcast clouds,-29.95,-71.34,Hotel San Juan
56,Hermanus,ZA,55.99,clear sky,-34.42,19.23,Misty Waves Boutique Hotel
59,Port-Gentil,GA,77.0,scattered clouds,-0.72,8.78,Fengshui Residence
61,Yaring,TH,77.81,heavy intensity rain,6.87,101.37,My Home Pokku
62,Alto Longa,BR,81.5,broken clouds,-5.25,-42.21,pousada E Restaurante Longá
63,Phangnga,TH,77.0,few clouds,8.45,98.53,Rattanapong Hotel
66,Kapaa,US,86.0,few clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
67,Kavieng,PG,83.12,light rain,-2.57,150.8,Nusa Island Retreat
68,Isangel,VU,75.92,overcast clouds,-19.55,169.27,Volcano Sea View Tree House
