City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tuktoyaktuk,CA,69.45,-133.04,42.8,70,20,9.17,few clouds
1,West Odessa,US,31.84,-102.5,91.4,27,1,17.22,clear sky
2,Geraldton,AU,-28.77,114.6,59.0,82,90,16.11,overcast clouds
3,Busselton,AU,-33.65,115.33,46.99,95,25,1.99,light rain
4,Talnakh,RU,69.49,88.4,44.6,93,73,8.95,broken clouds
5,Cherskiy,RU,68.75,161.3,47.61,53,75,13.94,broken clouds
6,Sambava,MG,-14.27,50.17,65.64,80,0,8.57,clear sky
7,Cape Town,ZA,-33.93,18.42,57.2,82,0,6.93,clear sky
8,Bluff,NZ,-46.6,168.33,45.0,72,75,11.01,broken clouds
9,Atuona,PF,-9.8,-139.03,78.42,74,85,17.65,overcast clouds
10,Qaanaaq,GL,77.48,-69.36,23.88,82,0,2.66,clear sky
11,Port Hardy,CA,50.7,-127.42,62.6,88,75,9.17,broken clouds
12,Axim,GH,4.87,-2.24,75.09,87,51,7.78,broken clouds
13,La Palma,US,33.85,-118.05,111.99,17,1,4.7,clear sky
14,Puerto Ayora,EC,-0.74,-90.35,68.0,89,88,5.99,overcast clouds
15,Rikitea,PF,-23.12,-134.97,73.42,84,0,12.62,clear sky
16,Kuytun,RU,54.34,101.5,43.57,88,61,8.77,broken clouds
17,Provideniya,RU,64.38,-173.3,42.8,70,75,20.13,broken clouds
18,Ushuaia,AR,-54.8,-68.3,41.0,80,20,6.93,few clouds
19,Quthing,LS,-30.4,27.7,53.89,76,81,3.22,light rain
20,Nouadhibou,MR,20.93,-17.03,80.6,61,100,12.75,overcast clouds
21,East London,ZA,-33.02,27.91,63.16,82,100,3.6,overcast clouds
22,Mataura,NZ,-46.19,168.86,45.0,72,49,11.01,scattered clouds
23,Kodiak,US,57.79,-152.41,55.4,93,90,20.8,heavy intensity rain
24,Mount Isa,AU,-20.73,139.5,77.0,33,0,9.17,clear sky
25,Codrington,AU,-38.27,141.97,57.22,65,20,23.09,few clouds
26,Fraga,ES,41.52,0.35,66.0,67,61,6.93,broken clouds
27,Jamestown,US,42.1,-79.24,68.0,63,1,5.82,clear sky
28,Dikson,RU,73.51,80.55,41.99,81,70,20.07,broken clouds
29,Crixas,BR,-14.55,-49.97,79.45,24,0,0.4,clear sky
30,Berlevag,NO,70.86,29.09,50.0,87,75,236.0,broken clouds
31,Calvinia,ZA,-31.47,19.78,53.62,53,0,6.96,clear sky
32,Anloga,GH,5.79,0.9,77.0,88,40,12.75,scattered clouds
33,Butaritari,KI,3.07,172.79,83.89,72,100,18.41,overcast clouds
34,Kuchinarai,TH,16.54,104.05,82.0,94,20,4.7,few clouds
35,Porto Novo,BJ,6.5,2.6,75.27,84,84,7.2,broken clouds
36,Bengkulu,ID,-3.8,102.27,75.02,90,100,6.87,overcast clouds
37,Goundam,ML,16.41,-3.67,90.9,44,12,5.39,few clouds
38,Thompson,CA,55.74,-97.86,48.2,57,75,12.75,broken clouds
39,Xai-Xai,MZ,-25.05,33.64,61.56,87,0,3.83,clear sky
40,Cayenne,GF,4.93,-52.33,80.6,78,26,3.36,scattered clouds
41,Hilo,US,19.73,-155.09,87.8,55,1,3.36,clear sky
42,Pacifica,US,37.61,-122.49,104.0,27,1,17.22,haze
43,Avarua,CK,-21.21,-159.78,73.4,60,35,8.05,scattered clouds
44,Bud,US,39.45,-86.18,77.0,60,1,10.29,clear sky
45,Beirut,LB,33.89,35.49,82.4,78,0,3.36,clear sky
46,Anadyr,RU,64.75,177.48,48.2,93,75,11.18,light intensity shower rain
47,Rio Gallegos,AR,-51.62,-69.22,46.4,61,80,8.05,broken clouds
48,Sibolga,ID,1.74,98.78,76.1,74,97,4.0,overcast clouds
49,Port Alfred,ZA,-33.59,26.89,59.0,86,28,5.19,scattered clouds
50,Biltine,TD,14.53,20.92,78.51,73,3,6.98,clear sky
51,Pevek,RU,69.7,170.31,43.09,71,0,15.32,clear sky
52,Durango,MX,24.83,-104.83,64.63,78,100,6.67,overcast clouds
53,Airai,TL,-8.93,125.41,62.96,54,21,3.76,few clouds
54,Coquimbo,CL,-29.95,-71.34,55.4,76,90,8.05,overcast clouds
